;Batch 1;Batch 2;Batch 3;Batch 4;Batch 5;Batch 6
Q9HAU0;0;0;0;0;0;1
P80217;0;0;0;0;0;1
Q13509;0;0;0;0;0;1
A8MUU1;0;0;0;0;0;1
P17516;0;0;0;0;0;1
P48594;0;0;0;0;0;1
Q86SG5;0;0;0;0;0;1
P01911;0;0;0;0;0;1
O95716;0;0;0;0;0;1
Q9UNS2;0;0;0;0;0;1
Q96AT9;0;0;0;0;0;1
Q9H1Z4;0;0;0;0;0;1
P53597;0;0;0;0;0;1
P07195;0;0;0;0;0;1
O95299;0;0;0;0;0;1
O94874;0;0;0;0;0;1
Q9UGM5;0;0;0;0;0;1
Q9NQX3;0;0;0;0;0;1
Q9UQC9;0;0;0;0;0;1
P57735;0;0;0;0;0;1
Q01628;0;0;0;0;0;1
Q9Y2G5;0;0;0;0;0;1
Q9Y4P1;0;0;0;0;0;1
Q9UID3;0;0;0;0;0;1
Q8WUM0;0;0;0;0;0;1
Q16831;0;0;0;0;0;1
Q9BW92;0;0;0;0;0;1
Q99643;0;0;0;0;0;1
P20061;0;0;0;0;0;1
O95249;0;0;0;0;0;1
Q3ZAQ7;0;0;0;0;0;1
P53384;0;0;0;0;0;1
P53805;0;0;0;0;0;1
O43252;0;0;0;0;0;1
P52434;0;0;0;0;0;1
Q9Y3C7;0;0;0;0;0;1
P18615;0;0;0;0;0;1
P56524;0;0;0;0;0;1
Q8TCV5;0;0;0;0;0;1
Q8NHP1;0;0;0;0;1;0
Q9NRR5;0;0;0;0;1;1
Q9NWV8;0;0;0;0;1;1
Q8N5A5;0;0;0;0;1;1
P34931;0;0;0;0;1;0
A0A0B4J1Y9;0;0;0;0;1;0
P0DOY3;0;0;0;0;1;0
O43548;0;0;0;0;1;0
Q6EMK4;0;0;0;0;1;0
P09488;0;0;0;0;1;0
P0DPK5;0;0;0;0;1;0
Q15369;0;0;0;0;1;0
Q13554;0;0;0;0;1;0
Q13033;0;0;0;0;1;1
O95394;0;0;0;0;1;1
Q9GZT9;0;0;0;0;1;1
P15121;0;0;0;0;1;1
Q9NQW1;0;0;0;1;0;0
Q96SL4;0;0;0;1;0;1
Q8N4C6;0;0;0;1;1;0
Q5TEC6;0;0;0;1;0;0
Q9P0M6;0;0;0;1;0;0
Q99972;0;0;0;1;0;0
Q7L1Q6;0;0;0;1;0;0
Q8WYA6;0;0;0;1;0;0
Q9Y3D0;0;0;0;1;0;0
Q4ZHG4;0;0;0;1;0;0
O43827;0;0;0;1;0;0
Q9NWS0;0;0;0;1;0;0
Q7Z4W1;0;0;0;1;0;0
Q8N1F7;0;0;0;1;0;0
P61024;0;0;0;1;0;0
Q9Y600;0;0;0;1;0;0
Q9NQP4;0;0;0;1;0;0
Q3YEC7;0;0;0;1;0;1
Q9UI42;0;0;0;1;0;1
P01766;0;0;0;1;0;1
P36507;0;0;0;1;0;1
O95571;0;0;0;1;0;1
Q9UEW3;0;0;0;1;0;1
P31937;0;0;0;1;0;1
O14828;0;0;0;1;0;1
Q9Y6E0;0;0;0;1;0;1
Q8IZL8;0;0;0;1;0;1
P62312;0;0;0;1;0;1
Q02252;0;0;0;1;0;1
Q9NVS2;0;0;0;1;0;1
Q96HF1;0;0;0;1;0;1
Q9Y6M1;0;0;0;1;0;1
P07196;0;0;0;1;0;1
Q15172;0;0;0;1;0;1
Q99959;0;0;0;1;0;1
Q8N138;0;0;0;1;0;1
P09234;0;0;0;1;0;1
Q9Y2T3;0;0;0;1;0;1
Q9BQ69;0;0;0;1;0;1
Q9BVC6;0;0;0;1;0;1
Q9UQN3;0;0;0;1;0;1
Q9UI10;0;0;0;1;0;1
Q92506;0;0;0;1;1;1
Q9UG63;0;0;0;1;1;1
Q9NSB2;0;0;0;1;1;0
Q0VF96;0;0;0;1;1;0
P46060;0;0;0;1;1;1
P20290;0;0;0;1;1;1
O43181;0;0;0;1;1;1
Q13573;0;0;0;1;1;1
Q5T447;0;0;0;1;1;1
Q9Y680;0;0;0;1;1;1
P48163;0;0;0;1;1;1
Q3SY84;0;0;1;0;0;0
Q13733;0;0;1;0;0;0
Q14651;0;0;1;0;0;1
P14136;0;0;1;0;1;1
Q5VZF2;0;0;1;1;0;1
Q9BQ39;0;0;1;1;0;1
P16333;0;0;1;1;0;1
Q9UDY2;0;0;1;1;1;1
P0CG35;0;0;1;1;1;1
O00471;0;0;1;0;0;0
Q92922;0;0;1;0;0;0
P49746;0;0;1;0;0;0
A0A0C4DH29;0;0;1;0;0;0
O43592;0;0;1;0;0;0
Q9H993;0;0;1;0;0;0
Q15485;0;0;1;0;0;0
O15460;0;0;1;0;0;0
B1AK53;0;0;1;0;0;0
Q16352;0;0;1;0;0;0
P62330;0;0;1;0;0;0
Q13201;0;0;1;0;0;1
P14649;0;0;1;0;0;1
Q92878;0;0;1;0;0;1
O15264;0;0;1;0;0;1
Q92600;0;0;1;0;0;1
P05106;0;0;1;0;0;1
Q01970;0;0;1;0;0;1
Q9P253;0;0;1;0;0;1
O95232;0;0;1;0;0;1
Q08AM6;0;0;1;0;0;1
Q92888;0;0;1;0;0;1
Q8IY81;0;0;1;0;0;1
Q9Y2K2;0;0;1;0;0;1
Q9HAF1;0;0;1;0;0;1
Q99942;0;0;1;0;0;1
O96005;0;0;1;0;0;1
O95379;0;0;1;0;0;1
Q9NWT6;0;0;1;0;1;0
O14744;0;0;1;0;1;0
P19105;0;0;1;0;1;1
Q92820;0;0;1;0;1;1
Q15628;0;0;1;0;1;1
Q6NUJ1;0;0;1;1;0;1
O15027;0;0;1;1;0;1
Q9H939;0;0;1;1;0;1
P18085;0;0;1;1;0;0
Q13098;0;0;1;1;0;0
Q7L7X3;0;0;1;1;0;0
O75427;0;0;1;1;0;0
Q9Y3R4;0;0;1;1;0;0
Q8TE77;0;0;1;1;0;1
Q9Y337;0;0;1;1;0;1
Q9UHG3;0;0;1;1;0;1
Q16186;0;0;1;1;0;1
P49023;0;0;1;1;0;1
Q96B26;0;0;1;1;0;1
Q9Y624;0;0;1;1;0;1
O14497;0;0;1;1;0;1
Q16822;0;0;1;1;0;1
P42566;0;0;1;1;0;1
Q9BTL3;0;0;1;1;0;1
P80188;0;0;1;1;0;1
Q9BRT3;0;0;1;1;0;1
Q13637;0;0;1;1;0;1
O95169;0;0;1;1;0;1
Q9UBV8;0;0;1;1;0;1
O95202;0;0;1;1;0;1
Q06787;0;0;1;1;1;1
P46379;0;0;1;1;1;1
Q3ZCQ8;0;0;1;1;1;0
Q02539;0;0;1;1;1;1
P16112;0;0;1;1;1;1
P04439;0;0;1;1;1;1
P36980;0;0;1;1;1;1
O60841;0;0;1;1;1;1
P54821;0;0;1;1;1;1
P55769;0;0;1;1;1;1
O95168;0;0;1;1;1;1
P29992;0;0;1;1;1;1
Q16836;0;0;1;1;1;1
Q99873;0;0;1;1;1;1
O00186;0;0;1;1;1;1
O75629;0;0;1;1;1;1
Q96AG4;0;0;1;1;1;1
A0A0B4J1V1;0;1;0;0;0;0
Q96MM6;0;1;0;0;0;0
Q9UQ16;0;1;0;0;0;1
O60645;0;1;0;0;0;1
P01817;0;1;0;1;1;0
P51178;0;1;0;1;0;1
P12107;0;1;0;1;1;0
Q6GQQ9;0;1;0;1;1;0
Q02985;0;1;1;1;0;1
O76011;0;1;1;1;1;1
Q96AB3;0;1;1;1;0;1
O15294;0;1;1;1;1;1
Q9NWU2;0;1;1;0;0;0
Q5SRE7;0;1;1;0;0;0
P18754;0;1;1;0;0;1
P56545;0;1;1;0;1;0
P25440;0;1;1;0;1;0
Q9NYU2;0;1;1;0;1;1
Q8NFH5;0;1;1;1;0;0
P60953;0;1;1;1;0;1
A5A3E0;0;1;0;0;0;0
P04350;0;1;0;0;0;0
Q07283;0;1;0;0;0;0
Q14532;0;1;0;0;0;0
P0DP01;0;1;0;0;0;0
P78386;0;1;0;0;0;0
Q8TAE6;0;1;0;0;0;0
P17693;0;1;0;0;0;0
Q14533;0;1;0;0;0;0
O60826;0;1;0;0;0;0
P98082;0;1;0;0;0;0
O15382;0;1;0;0;0;0
A1L0T0;0;1;0;0;0;0
Q9UBV2;0;1;0;0;0;0
O14498;0;1;0;0;0;0
Q9Y3E7;0;1;0;0;0;0
Q76M96;0;1;0;0;0;0
Q86WV6;0;1;0;0;0;0
P28161;0;1;0;0;0;0
O75940;0;1;0;0;0;0
Q12972;0;1;0;0;0;0
P54886;0;1;0;0;0;0
O15254;0;1;0;0;0;0
P83110;0;1;0;0;0;0
Q7Z3B1;0;1;0;0;0;0
Q13868;0;1;0;0;0;0
Q92609;0;1;0;0;0;0
Q15477;0;1;0;0;0;0
P21953;0;1;0;0;0;0
Q99627;0;1;0;0;0;0
Q9UNL2;0;1;0;0;0;0
Q12929;0;1;0;0;0;0
Q02750;0;1;0;0;0;1
Q8TD55;0;1;0;0;0;1
A0A075B6K5;0;1;0;0;0;1
P42025;0;1;0;0;0;1
Q2UY09;0;1;0;0;0;1
Q13557;0;1;0;0;0;1
Q9NZB2;0;1;0;0;0;1
P22223;0;1;0;0;0;1
P83111;0;1;0;0;0;1
Q6ZMR3;0;1;0;0;0;1
Q6P1N0;0;1;0;0;0;1
Q6P2E9;0;1;0;0;0;1
Q9NPD3;0;1;0;0;0;1
Q9BUB7;0;1;0;0;0;1
Q13045;0;1;0;0;0;1
Q9NVT9;0;1;0;0;0;1
Q96T51;0;1;0;0;0;1
O14841;0;1;0;0;0;1
Q6P0A1;0;1;0;0;0;1
Q9UJY5;0;1;0;0;0;1
Q68CZ2;0;1;0;0;0;1
Q9BXJ9;0;1;0;0;0;1
P00742;0;1;0;0;0;1
Q4KMP7;0;1;0;0;0;1
O75023;0;1;0;0;0;1
P16671;0;1;0;0;0;1
P53618;0;1;0;0;0;1
Q9UHA4;0;1;0;0;0;1
Q8IUD2;0;1;0;0;0;1
P00326;0;1;0;0;0;1
P29762;0;1;0;0;0;1
P54289;0;1;0;0;0;1
Q9NRX3;0;1;0;0;0;1
Q8WUY3;0;1;0;0;0;1
P40967;0;1;0;0;0;1
Q9H147;0;1;0;0;0;1
Q9NUQ9;0;1;0;0;0;1
P49757;0;1;0;0;0;1
O43264;0;1;0;0;0;1
O75886;0;1;0;0;0;1
Q14126;0;1;0;0;0;1
Q96PU8;0;1;0;0;0;1
P50452;0;1;0;0;1;0
Q8IVL6;0;1;0;0;1;0
A0A0C4DH34;0;1;0;0;1;1
Q8IX12;0;1;0;0;1;1
Q6NVY1;0;1;0;0;1;1
P78406;0;1;0;0;1;1
P48539;0;1;0;0;1;1
P35244;0;1;0;0;1;1
P16220;0;1;0;0;1;1
Q53TN4;0;1;0;0;1;1
P35613;0;1;0;0;1;1
P02100;0;1;0;1;0;0
P63010;0;1;0;1;1;1
Q9UBG0;0;1;0;1;1;1
Q14141;0;1;0;1;0;0
Q9UH65;0;1;0;1;0;0
P08754;0;1;0;1;0;0
Q16795;0;1;0;1;0;0
O15067;0;1;0;1;0;0
Q9NZH8;0;1;0;1;0;0
Q8WXX5;0;1;0;1;0;0
P16083;0;1;0;1;0;0
Q7LBR1;0;1;0;1;0;0
P15529;0;1;0;1;0;0
Q99747;0;1;0;1;0;0
Q71U36;0;1;0;1;0;1
P0C0S5;0;1;0;1;0;1
P10321;0;1;0;1;0;1
P29373;0;1;0;1;0;1
O94901;0;1;0;1;0;1
Q9BUT1;0;1;0;1;0;1
P55010;0;1;0;1;0;1
P55210;0;1;0;1;0;1
O15355;0;1;0;1;0;1
O75436;0;1;0;1;0;1
Q2M389;0;1;0;1;0;1
Q9Y508;0;1;0;1;0;1
Q9Y3C0;0;1;0;1;0;1
Q9UIS9;0;1;0;1;0;1
Q9P013;0;1;0;1;0;1
Q8N490;0;1;0;1;0;1
Q9HC07;0;1;0;1;0;1
Q9UBI1;0;1;0;1;1;0
Q8N4P3;0;1;0;1;1;1
Q8IUL8;0;1;0;1;1;0
Q96LD4;0;1;0;1;1;0
Q63HR2;0;1;0;1;1;0
Q9NQ79;0;1;0;1;1;1
Q9NTI5;0;1;0;1;1;1
O43294;0;1;0;1;1;1
Q14151;0;1;0;1;1;1
Q9UMX5;0;1;0;1;1;1
Q7L2H7;0;1;0;1;1;1
Q15057;0;1;0;1;1;1
Q08J23;0;1;0;1;1;1
O95400;0;1;0;1;1;1
P22692;0;1;0;1;1;1
Q8IZQ5;0;1;0;1;1;1
Q8IVL8;0;1;0;1;1;1
Q9NXW9;0;1;0;1;1;1
O15305;0;1;1;0;0;1
Q96L92;0;1;1;0;0;1
Q96A35;0;1;1;0;0;1
Q9BZZ5;0;1;1;0;0;1
Q9BQE3;0;1;1;0;1;1
Q9GZY8;0;1;1;0;1;1
Q13492;0;1;1;0;1;1
Q96LJ7;0;1;1;1;0;0
P46926;0;1;1;1;0;0
P16435;0;1;1;1;0;1
P48061;0;1;1;1;0;1
O60313;0;1;1;1;0;1
Q12857;0;1;1;1;0;1
Q15814;0;1;1;1;0;1
P11387;0;1;1;1;0;1
P35573;0;1;1;1;1;0
Q9UBT2;0;1;1;1;1;1
P00813;0;1;1;1;1;0
Q9UJZ1;0;1;1;1;1;1
Q8TCD5;0;1;1;1;1;1
O43583;0;1;1;1;1;1
P08648;0;1;1;1;1;1
P01782;0;1;1;0;0;0
O43660;0;1;1;0;0;0
P30511;0;1;1;0;0;0
Q96A72;0;1;1;0;0;0
O00214;0;1;1;0;0;0
O75095;0;1;1;0;0;0
Q16627;0;1;1;0;0;0
P56378;0;1;1;0;0;0
Q9UQB8;0;1;1;0;0;0
Q9NR31;0;1;1;0;0;1
Q99848;0;1;1;0;0;1
P26196;0;1;1;0;0;1
P07686;0;1;1;0;0;1
P16615;0;1;1;0;0;1
Q12959;0;1;1;0;0;1
Q9NZ01;0;1;1;0;0;1
Q12765;0;1;1;0;0;1
Q9NX55;0;1;1;0;0;1
Q96JJ7;0;1;1;0;0;1
Q15223;0;1;1;0;0;1
Q9NRG9;0;1;1;0;0;1
Q676U5;0;1;1;0;0;1
P30876;0;1;1;0;0;1
P11234;0;1;1;0;1;1
O95757;0;1;1;0;1;1
P62906;0;1;1;0;1;1
P26639;0;1;1;0;1;1
Q8IWS0;0;1;1;0;1;0
Q9UI12;0;1;1;0;1;0
Q5T0W9;0;1;1;0;1;0
O60828;0;1;1;0;1;0
Q9BV20;0;1;1;0;1;1
Q9ULZ3;0;1;1;0;1;1
P51148;0;1;1;0;1;1
Q9Y2X3;0;1;1;0;1;1
Q15020;0;1;1;0;1;1
O75955;0;1;1;0;1;1
P29350;0;1;1;0;1;1
P46063;0;1;1;0;1;1
Q14669;0;1;1;0;1;1
Q5RKV6;0;1;1;0;1;1
Q96S44;0;1;1;0;1;1
Q9BVJ7;0;1;1;1;0;0
P63027;0;1;1;1;0;1
Q9NT62;0;1;1;1;0;1
Q99719;0;1;1;1;1;1
Q9UM54;0;1;1;1;1;1
P29218;0;1;1;1;1;1
P51571;0;1;1;1;0;0
Q9Y6K9;0;1;1;1;0;0
Q6IQ22;0;1;1;1;0;0
O95721;0;1;1;1;0;0
P80723;0;1;1;1;0;0
P32926;0;1;1;1;0;1
P22234;0;1;1;1;0;1
Q99615;0;1;1;1;0;1
Q92688;0;1;1;1;0;1
Q14353;0;1;1;1;0;1
Q9NW64;0;1;1;1;0;1
P61020;0;1;1;1;0;1
P24928;0;1;1;1;0;1
Q9H7C9;0;1;1;1;0;1
Q9P1F3;0;1;1;1;0;1
Q9Y6G3;0;1;1;1;0;1
Q92615;0;1;1;1;0;1
Q9Y295;0;1;1;1;0;1
Q8IWX8;0;1;1;1;0;1
O75439;0;1;1;1;0;1
Q13308;0;1;1;1;0;1
P32456;0;1;1;1;0;1
P61026;0;1;1;1;0;1
Q9NRF9;0;1;1;1;0;1
Q96FV9;0;1;1;1;0;1
Q9UKF6;0;1;1;1;0;1
Q8NC56;0;1;1;1;0;1
Q9HB71;0;1;1;1;0;1
O60220;0;1;1;1;0;1
Q99836;0;1;1;1;0;1
Q9H3D4;0;1;1;1;0;1
Q9BYD3;0;1;1;1;0;1
Q32P28;0;1;1;1;1;0
Q9Y3C8;0;1;1;1;1;1
Q9P0G3;0;1;1;1;1;1
Q9UP83;0;1;1;1;1;1
P48426;0;1;1;1;1;0
Q9UNF1;0;1;1;1;1;0
P80303;0;1;1;1;1;0
Q9Y2Q3;0;1;1;1;1;0
P60891;0;1;1;1;1;0
Q13057;0;1;1;1;1;0
P29083;0;1;1;1;1;0
Q9UN70;0;1;1;1;1;0
Q9NTI2;0;1;1;1;1;1
Q12905;0;1;1;1;1;1
P55000;0;1;1;1;1;1
P50213;0;1;1;1;1;1
Q6P2Q9;0;1;1;1;1;1
P62993;0;1;1;1;1;1
Q9BZQ8;0;1;1;1;1;1
Q9UHD9;0;1;1;1;1;1
O14908;0;1;1;1;1;1
P51858;0;1;1;1;1;1
A0A0B4J2D9;0;1;1;1;1;1
Q96CT7;0;1;1;1;1;1
Q99729;0;1;1;1;1;1
Q13242;0;1;1;1;1;1
Q9UHL4;0;1;1;1;1;1
P10643;0;1;1;1;1;1
O00534;0;1;1;1;1;1
O00233;0;1;1;1;1;1
Q99459;0;1;1;1;1;1
Q9Y6G9;0;1;1;1;1;1
P50579;0;1;1;1;1;1
Q9Y3Y2;0;1;1;1;1;1
Q14108;0;1;1;1;1;1
O75884;0;1;1;1;1;1
Q8N4T8;0;1;1;1;1;1
P55058;0;1;1;1;1;1
Q9NSA3;0;1;1;1;1;1
Q15785;0;1;1;1;1;1
Q9Y237;0;1;1;1;1;1
O95831;0;1;1;1;1;1
Q9H0U6;0;1;1;1;1;1
Q9UIV8;0;1;1;1;1;1
Q9Y5J9;0;1;1;1;1;1
H7BZ55;0;1;1;1;1;1
Q14677;0;1;1;1;1;1
Q13405;0;1;1;1;1;1
A6NDG6;0;1;1;1;1;1
O75400;0;1;1;1;1;1
P29803;1;0;0;0;0;0
Q12955;1;0;0;0;0;1
Q9UI08;1;0;0;0;0;1
Q9Y316;1;0;0;0;0;1
P21397;1;0;0;0;1;1
Q9HCJ3;1;0;0;0;1;1
Q96E39;1;0;0;1;0;0
Q7Z5N4;1;0;0;1;0;0
P25815;1;0;0;1;0;1
Q01085;1;0;0;1;0;1
Q7Z3Z0;1;0;0;1;1;0
P07197;1;0;1;1;0;1
P25189;1;0;1;1;1;1
Q96JQ0;1;0;1;1;1;1
P40937;1;0;1;1;1;1
P25686;1;0;1;1;1;1
P09914;1;0;1;1;1;1
P15153;1;1;0;0;0;0
Q147X3;1;1;1;1;0;0
P62820;1;1;1;1;0;1
Q9UKX3;1;1;1;1;0;0
Q8WZ42;1;1;1;1;0;1
Q13630;1;1;1;0;1;1
Q8WWI1;1;1;1;1;1;1
Q86WI3;1;1;1;1;1;0
Q9H7E9;1;1;0;0;0;0
Q14938;1;1;0;0;0;1
P42285;1;1;0;0;0;1
P29353;1;1;0;0;0;1
Q08379;1;1;0;0;1;1
P50851;1;1;0;0;1;1
P03973;1;1;0;1;0;1
Q9HB40;1;1;0;1;1;1
Q13564;1;1;0;1;0;1
P27487;1;1;0;1;0;1
Q6UVK1;1;1;0;1;0;1
Q00059;1;1;0;1;1;1
Q99816;1;1;0;1;1;1
Q9UMX0;1;1;0;1;1;0
Q16539;1;1;0;1;1;1
Q15029;1;1;0;1;1;1
Q8ND56;1;1;0;1;1;1
Q5JTJ3;1;1;0;1;1;1
Q9Y678;1;1;1;0;0;1
A0A0B4J1V2;1;1;1;0;1;1
Q9Y4W6;1;1;1;1;0;1
Q14160;1;1;1;1;0;1
Q15796;1;1;1;1;0;1
Q5JT82;1;1;1;1;1;1
Q8WVJ2;1;1;1;1;1;1
P28906;1;1;1;1;1;1
P36269;1;1;1;1;1;1
P01721;1;1;1;0;0;0
Q9H6S3;1;1;1;0;0;1
P02741;1;1;1;0;0;1
Q13618;1;1;1;0;1;1
P01593;1;1;1;0;1;1
O95274;1;1;1;0;1;1
P51532;1;1;1;1;0;0
Q15067;1;1;1;1;0;1
P22307;1;1;1;1;0;1
Q9Y3L3;1;1;1;1;1;1
Q8N6H7;1;1;1;1;1;1
Q13153;1;1;1;1;1;1
Q9BY32;1;1;1;1;1;1
O75694;1;1;1;1;0;0
Q9NYL9;1;1;1;1;0;1
Q15811;1;1;1;1;0;1
P51553;1;1;1;1;0;1
Q8IW45;1;1;1;1;0;1
P06865;1;1;1;1;0;1
Q8TAQ2;1;1;1;1;1;1
Q9Y6W5;1;1;1;1;1;1
Q15468;1;1;1;1;1;1
O94832;1;1;1;1;1;1
Q9Y2E4;1;1;1;1;1;0
Q8N1Q8;1;1;1;1;1;1
P31939;1;1;1;1;1;1
O75347;1;1;1;1;1;1
Q12904;1;1;1;1;1;1
P46109;1;1;1;1;1;1
Q7Z6Z7;1;1;1;1;1;1
Q9H8L6;1;1;1;1;1;1
Q9UKK9;1;1;1;1;1;1
Q969L2;1;1;1;1;1;1
P30040;1;1;1;1;1;1
P09874;1;1;1;1;1;1
P49736;1;1;1;1;1;1
Q14696;1;1;1;1;1;1
Q8IUE6;1;0;0;0;0;0
P11217;1;0;0;0;0;0
Q9H4B7;1;0;0;0;0;0
A0A0C4DH33;1;0;0;0;0;0
Q9Y5Q8;1;0;0;0;0;0
Q5VVQ6;1;0;0;0;0;0
O43865;1;0;0;0;0;0
P29972;1;0;0;0;0;0
O95365;1;0;0;0;0;0
O75607;1;0;0;0;0;0
Q8IXS6;1;0;0;0;0;0
O94760;1;0;0;0;0;0
P23025;1;0;0;0;0;0
P0DTE1;1;0;0;0;0;0
Q13586;1;0;0;0;0;0
Q86X76;1;0;0;0;0;0
Q96B36;1;0;0;0;0;0
Q9BY43;1;0;0;0;0;0
Q96AQ6;1;0;0;0;0;0
Q9UDY4;1;0;0;0;0;0
Q9BW72;1;0;0;0;0;0
Q96P70;1;0;0;0;0;0
Q9P2A4;1;0;0;0;0;1
Q04828;1;0;0;0;0;1
Q9Y2J2;1;0;0;0;0;1
P51572;1;0;0;0;0;1
Q05469;1;0;0;0;0;1
O60218;1;0;0;0;0;1
P61077;1;0;0;0;0;1
P23610;1;0;0;0;0;1
Q9NQ48;1;0;0;0;0;1
Q9BRK5;1;0;0;0;0;1
P11532;1;0;0;0;1;0
P26885;1;0;0;0;1;0
Q8IZ73;1;0;0;0;1;0
P13804;1;0;0;0;1;1
P49720;1;0;0;0;1;1
P54108;1;0;0;0;1;1
O14936;1;0;0;1;0;1
Q9H4A4;1;0;0;1;1;1
Q01484;1;0;0;1;0;0
Q96IX5;1;0;0;1;0;0
P29622;1;0;0;1;0;0
P0DMN0;1;0;0;1;0;0
O76041;1;0;0;1;0;0
Q96I25;1;0;0;1;0;0
Q71UI9;1;0;0;1;0;1
Q9NTX5;1;0;0;1;0;1
P52895;1;0;0;1;0;1
P29536;1;0;0;1;0;1
O43684;1;0;0;1;0;1
O60936;1;0;0;1;0;1
Q9UN36;1;0;0;1;0;1
P33316;1;0;0;1;0;1
Q4L180;1;0;0;1;0;1
O95816;1;0;0;1;0;1
Q14314;1;0;0;1;0;1
Q9NVS9;1;0;0;1;0;1
Q4V9L6;1;0;0;1;0;1
P82673;1;0;0;1;0;1
O15446;1;0;0;1;0;1
Q8TDP1;1;0;0;1;0;1
Q01196;1;0;0;1;0;1
P30405;1;0;0;1;1;1
Q16718;1;0;0;1;1;1
Q9UKS6;1;0;0;1;1;0
A1L4H1;1;0;0;1;1;0
Q9BXR0;1;0;0;1;1;0
O43866;1;0;0;1;1;1
O00391;1;0;0;1;1;1
Q7Z4V5;1;0;0;1;1;1
Q9C005;1;0;0;1;1;1
Q96BM9;1;0;0;1;1;1
Q9H444;1;0;0;1;1;1
